Time,Ampl
4.126e-005,0.0439766
4.1264e-005,0.0441205
4.1268e-005,0.0441254
4.1272e-005,0.0441453
4.1276e-005,0.0443834
4.128e-005,0.0445769
4.1284e-005,0.0437385
4.1288e-005,0.0427662
4.1292e-005,0.0410003
4.1296e-005,0.0385398
4.13e-005,0.0367788
4.1304e-005,0.0355238
4.1308e-005,0.0346309
4.1312e-005,0.0338372
4.1316e-005,0.0275025
4.132e-005,0.0211926
4.1324e-005,0.0199277
4.1328e-005,0.0190794
4.1332e-005,0.0190298
4.1336e-005,0.0181964
4.134e-005,0.0114451
4.1344e-005,0.00223819
4.1348e-005,0.00117166
4.1352e-005,-6.35257e-005
4.1356e-005,-0.00107053
4.136e-005,0.000293637
4.1364e-005,-0.000197462
4.1368e-005,-0.000470294
4.1372e-005,8.03316e-005
4.1376e-005,-0.00141777
4.138e-005,0.00618682
4.1384e-005,0.0171398
4.1388e-005,0.0174275
4.1392e-005,0.0172539
4.1396e-005,0.0188512
4.14e-005,0.0175565
4.1404e-005,0.0170555
4.1408e-005,0.0171944
4.1412e-005,0.0161427
4.1416e-005,0.0165297
4.142e-005,0.0159145
4.1424e-005,0.0162767
4.1428e-005,0.0163114
4.1432e-005,0.0151457
4.1436e-005,0.0155822
4.144e-005,0.0159741
4.1444e-005,0.0162023
4.1448e-005,0.0155871
4.1452e-005,0.0155276
4.1456e-005,0.0155028
4.146e-005,0.0160237
4.1464e-005,0.0153887
4.1468e-005,0.0158302
4.1472e-005,0.0156268
4.1476e-005,0.0152052
4.148e-005,0.0155475
4.1484e-005,0.0152945
4.1488e-005,0.0151457
4.1492e-005,0.0154582
4.1496e-005,0.0152151
4.15e-005,0.0157707
4.1504e-005,0.0157558
4.1508e-005,0.0155276
4.1512e-005,0.016108
4.1516e-005,0.0155177
4.152e-005,0.0155971
4.1524e-005,0.0157112
4.1528e-005,0.0156169
4.1532e-005,0.0156169
4.1536e-005,0.0157707
4.154e-005,0.0154135
4.1544e-005,0.0157161
4.1548e-005,0.0157211
4.1552e-005,0.0153342
4.1556e-005,0.0151357
4.156e-005,0.0149621
4.1564e-005,0.0154681
4.1568e-005,0.0158253
4.1572e-005,0.0160485
4.1576e-005,0.01586
4.158e-005,0.015349
4.1584e-005,0.0155524
4.1588e-005,0.0159443
4.1592e-005,0.015483
4.1596e-005,0.0168372
4.16e-005,0.0157062
4.1604e-005,0.0167281
4.1608e-005,0.0159989
4.1612e-005,0.015349
4.1616e-005,0.0160336
4.162e-005,0.0154185
4.1624e-005,0.0153887
4.1628e-005,0.0162072
4.1632e-005,0.0163312
4.1636e-005,0.0155276
4.164e-005,0.016619
4.1644e-005,0.0159642
4.1648e-005,0.0160435
4.1652e-005,0.0155822
4.1656e-005,0.0160386
4.166e-005,0.0155971
4.1664e-005,0.0164701
4.1668e-005,0.0156467
4.1672e-005,0.0160584
4.1676e-005,0.0155127
4.168e-005,0.0160237
4.1684e-005,0.0156764
4.1688e-005,0.0158501
4.1692e-005,0.0156417
4.1696e-005,0.0158749
4.17e-005,0.0153441
4.1704e-005,0.0161973
4.1708e-005,0.0155574
4.1712e-005,0.0154086
4.1716e-005,0.0153292
4.172e-005,0.016232
4.1724e-005,0.0156665
4.1728e-005,0.0156417
4.1732e-005,0.0159642
4.1736e-005,0.0148877
4.174e-005,0.0158153
4.1744e-005,0.0157409
4.1748e-005,0.0154334
4.1752e-005,0.0158352
4.1756e-005,0.0154334
4.176e-005,0.0157806
4.1764e-005,0.0153193
4.1768e-005,0.0155177
4.1772e-005,0.0164205
4.1776e-005,0.0160534
4.178e-005,0.0164007
4.1784e-005,0.0154135
4.1788e-005,0.0160534
4.1792e-005,0.0154532
4.1796e-005,0.0159145
4.18e-005,0.0162171
4.1804e-005,0.0154979
4.1808e-005,0.0167479
4.1812e-005,0.0155871
4.1816e-005,0.0159592
4.182e-005,0.0160485
4.1824e-005,0.0158947
4.1828e-005,0.0160237
4.1832e-005,0.0152796
4.1836e-005,0.0160981
4.184e-005,0.0155276
4.1844e-005,0.0152647
4.1848e-005,0.0160534
4.1852e-005,0.015483
4.1856e-005,0.0159245
4.186e-005,0.0157657
4.1864e-005,0.0163957
4.1868e-005,0.015607
4.1872e-005,0.0155921
4.1876e-005,0.0159939
4.188e-005,0.0159294
4.1884e-005,0.0161576
4.1888e-005,0.0159394
4.1892e-005,0.0159592
4.1896e-005,0.0161725
4.19e-005,0.0157806
4.1904e-005,0.0155623
4.1908e-005,0.0158947
4.1912e-005,0.0155276
4.1916e-005,0.0152846
4.192e-005,0.0158798
4.1924e-005,0.0154334
4.1928e-005,0.0156318
4.1932e-005,0.0152101
4.1936e-005,0.0155375
4.194e-005,0.0158501
4.1944e-005,0.016232
4.1948e-005,0.0163908
4.1952e-005,0.0154631
4.1956e-005,0.0156566
4.196e-005,0.0155971
4.1964e-005,0.0153639
4.1968e-005,0.0159394
4.1972e-005,0.0155078
4.1976e-005,0.0152945
4.198e-005,0.0155326
4.1984e-005,0.0153143
4.1988e-005,0.014972
4.1992e-005,0.0159145
4.1996e-005,0.0159542
4.2e-005,0.0153788
4.2004e-005,0.016356
4.2008e-005,0.0157558
4.2012e-005,0.0156764
4.2016e-005,0.015602
4.202e-005,0.0155871
4.2024e-005,0.0157558
4.2028e-005,0.0160237
4.2032e-005,0.0154036
4.2036e-005,0.015726
4.204e-005,0.0159989
