LECROYWR104MXi,20621,Waveform
Segments,1,SegmentSize,2501
Segment,TrigTime,TimeSinceSegment1
#1,21-May-2015 13:59:34,0                 
Time,Ampl
4.126e-005,0.0520475
4.1264e-005,0.0518292
4.1268e-005,0.0525188
4.1272e-005,0.0519632
4.1276e-005,0.0512141
4.128e-005,0.0523551
4.1284e-005,0.0523451
4.1288e-005,0.052107
4.1292e-005,0.0526477
4.1296e-005,0.051859
4.13e-005,0.0524592
4.1304e-005,0.0519681
4.1308e-005,0.052613
4.1312e-005,0.0511
4.1316e-005,0.0518044
4.132e-005,0.0519285
4.1324e-005,0.0516804
4.1328e-005,0.0517499
4.1332e-005,0.0525783
4.1336e-005,0.0517598
4.134e-005,0.0517548
4.1344e-005,0.0517251
4.1348e-005,0.0519086
4.1352e-005,0.052494
4.1356e-005,0.0523898
4.136e-005,0.0512985
4.1364e-005,0.0525684
4.1368e-005,0.0523005
4.1372e-005,0.0519185
4.1376e-005,0.0525188
4.138e-005,0.0522509
4.1384e-005,0.0518937
4.1388e-005,0.0526527
4.1392e-005,0.0522757
4.1396e-005,0.0520078
4.14e-005,0.05236
4.1404e-005,0.0529553
4.1408e-005,0.0524245
4.1412e-005,0.052742
4.1416e-005,0.0521963
4.142e-005,0.0520872
4.1424e-005,0.0529007
4.1428e-005,0.052241
4.1432e-005,0.0520674
4.1436e-005,0.0522063
4.144e-005,0.0528065
4.1444e-005,0.0522112
4.1448e-005,0.052742
4.1452e-005,0.0520822
4.1456e-005,0.0523005
4.146e-005,0.0527519
4.1464e-005,0.0519433
4.1468e-005,0.0522311
4.1472e-005,0.0520376
4.1476e-005,0.0526428
4.148e-005,0.0520525
4.1484e-005,0.0523303
4.1488e-005,0.0529404
4.1492e-005,0.051735
4.1496e-005,0.0526626
4.15e-005,0.0524096
4.1504e-005,0.052241
4.1508e-005,0.0523551
4.1512e-005,0.0524394
4.1516e-005,0.0519681
4.152e-005,0.0523451
4.1524e-005,0.0522162
