Time,Ampl
4.126e-005,0.0466057
4.1264e-005,0.0469083
4.1268e-005,0.0467149
4.1272e-005,0.0467843
4.1276e-005,0.0475582
4.128e-005,0.0469579
4.1284e-005,0.0468439
4.1288e-005,0.0471216
4.1292e-005,0.0471216
4.1296e-005,0.0470224
4.13e-005,0.0474044
4.1304e-005,0.0471713
4.1308e-005,0.0470125
4.1312e-005,0.0474342
4.1316e-005,0.0470224
4.132e-005,0.0472506
4.1324e-005,0.0472308
4.1328e-005,0.0465264
4.1332e-005,0.0471464
4.1336e-005,0.0466107
4.134e-005,0.0471266
4.1344e-005,0.0468786
4.1348e-005,0.0471167
4.1352e-005,0.0473746
4.1356e-005,0.0477764
4.136e-005,0.047449
4.1364e-005,0.0470274
4.1368e-005,0.0467347
4.1372e-005,0.0474738
4.1376e-005,0.0472655
4.138e-005,0.0471613
4.1384e-005,0.0471663
4.1388e-005,0.0468538
4.1392e-005,0.0468687
4.1396e-005,0.0469183
4.14e-005,0.0467744
4.1404e-005,0.0469381
4.1408e-005,0.0468389
4.1412e-005,0.047454
4.1416e-005,0.0472258
4.142e-005,0.0467794
4.1424e-005,0.046442
4.1428e-005,0.0466206
4.1432e-005,0.0472209
4.1436e-005,0.0470522
4.144e-005,0.0466603
4.1444e-005,0.0471861
4.1448e-005,0.0467794
4.1452e-005,0.0466851
4.1456e-005,0.0468538
4.146e-005,0.0465115
4.1464e-005,0.0471316
4.1468e-005,0.0471713
4.1472e-005,0.0473945
4.1476e-005,0.0464718
4.148e-005,0.0462436
4.1484e-005,0.0418882
4.1488e-005,0.0394228
4.1492e-005,0.0375923
4.1496e-005,0.0355734
4.15e-005,0.0350426
4.1504e-005,0.0345813
4.1508e-005,0.0276414
4.1512e-005,0.021897
4.1516e-005,0.0202848
4.152e-005,0.0197739
4.1524e-005,0.0185833
4.1528e-005,0.0184196
4.1532e-005,0.0132854
4.1536e-005,0.00330472
4.154e-005,0.00124607
4.1544e-005,-0.000564546
4.1548e-005,-0.000167698
4.1552e-005,0.000531746
4.1556e-005,3.56862e-005
4.156e-005,-5.85651e-005
4.1564e-005,-0.000356201
4.1568e-005,-0.000539743
4.1572e-005,0.006668
4.1576e-005,0.0171745
4.158e-005,0.0186826
4.1584e-005,0.017869
4.1588e-005,0.0198483
4.1592e-005,0.0202253
4.1596e-005,0.0195655
4.16e-005,0.0199624
4.1604e-005,0.0202104
4.1608e-005,0.0195209
4.1612e-005,0.0209099
4.1616e-005,0.0200864
4.162e-005,0.0200666
4.1624e-005,0.020017
4.1628e-005,0.0198235
4.1632e-005,0.0198483
4.1636e-005,0.0203146
4.164e-005,0.0195705
4.1644e-005,0.0198235
4.1648e-005,0.0198979
4.1652e-005,0.0201261
4.1656e-005,0.0198681
4.166e-005,0.0203493
4.1664e-005,0.0189802
4.1668e-005,0.0198384
4.1672e-005,0.0199624
4.1676e-005,0.0193324
4.168e-005,0.0198929
4.1684e-005,0.0198334
4.1688e-005,0.0196499
4.1692e-005,0.0199376
4.1696e-005,0.0198781
4.17e-005,0.0199723
4.1704e-005,0.0191935
4.1708e-005,0.0197987
4.1712e-005,0.0190844
4.1716e-005,0.0195308
4.172e-005,0.0189504
4.1724e-005,0.0194167
4.1728e-005,0.0196003
4.1732e-005,0.019
4.1736e-005,0.0193622
4.174e-005,0.0193622
4.1744e-005,0.018881
4.1748e-005,0.0197739
4.1752e-005,0.0192381
4.1756e-005,0.0189405
4.176e-005,0.0191042
4.1764e-005,0.0194564
4.1768e-005,0.0195407
4.1772e-005,0.0199078
4.1776e-005,0.0198334
4.178e-005,0.0197937
4.1784e-005,0.0196747
4.1788e-005,0.0197789
4.1792e-005,0.0198483
4.1796e-005,0.0194961
4.18e-005,0.020136
4.1804e-005,0.0194068
4.1808e-005,0.0196697
4.1812e-005,0.0199277
4.1816e-005,0.0194663
4.182e-005,0.0195308
4.1824e-005,0.0201559
4.1828e-005,0.0198334
4.1832e-005,0.0201608
4.1836e-005,0.019382
4.184e-005,0.0200418
4.1844e-005,0.0196499
4.1848e-005,0.0199525
4.1852e-005,0.0205329
4.1856e-005,0.0205825
4.186e-005,0.0197987
4.1864e-005,0.0202699
4.1868e-005,0.0194465
4.1872e-005,0.0192481
4.1876e-005,0.0195804
4.188e-005,0.0195308
4.1884e-005,0.0195209
4.1888e-005,0.0198285
4.1892e-005,0.0199475
4.1896e-005,0.0195308
4.19e-005,0.0191141
4.1904e-005,0.0196201
4.1908e-005,0.0196697
4.1912e-005,0.0203692
4.1916e-005,0.019754
