LECROYWR104MXi,20621,Waveform
Segments,1,SegmentSize,2501
Segment,TrigTime,TimeSinceSegment1
#1,21-May-2015 13:59:34,0                 
Time,Ampl
4.126e-005,0.0588485
4.1264e-005,0.0585608
4.1268e-005,0.0581838
4.1272e-005,0.0593743
4.1276e-005,0.0585757
4.128e-005,0.058784
4.1284e-005,0.0587592
4.1288e-005,0.0589179
4.1292e-005,0.0588882
4.1296e-005,0.0590717
4.13e-005,0.0590866
4.1304e-005,0.0587741
4.1308e-005,0.0586897
4.1312e-005,0.0587939
4.1316e-005,0.0585558
4.132e-005,0.0587989
4.1324e-005,0.0585806
4.1328e-005,0.0588634
4.1332e-005,0.0586302
4.1336e-005,0.0581292
4.134e-005,0.0586451
4.1344e-005,0.0590171
4.1348e-005,0.0587046
4.1352e-005,0.0585012
4.1356e-005,0.0592453
4.136e-005,0.0587046
4.1364e-005,0.0587691
4.1368e-005,0.0588038
4.1372e-005,0.0586451
4.1376e-005,0.058913
4.138e-005,0.0588634
4.1384e-005,0.0591064
4.1388e-005,0.0590023
4.1392e-005,0.058154
4.1396e-005,0.0585012
4.14e-005,0.0584368
4.1404e-005,0.0585707
4.1408e-005,0.0587294
4.1412e-005,0.0587493
4.1416e-005,0.0583276
4.142e-005,0.0586699
4.1424e-005,0.0586104
4.1428e-005,0.0584219
4.1432e-005,0.0587989
4.1436e-005,0.0586253
4.144e-005,0.0585409
4.1444e-005,0.0588038
4.1448e-005,0.0594289
4.1452e-005,0.0586253
4.1456e-005,0.0585707
4.146e-005,0.0585409
4.1464e-005,0.0588187
4.1468e-005,0.0586798
4.1472e-005,0.0594735
4.1476e-005,0.0587741
4.148e-005,0.0573702
4.1484e-005,0.0497359
4.1488e-005,0.0432375
4.1492e-005,0.0398742
4.1496e-005,0.0385398
4.15e-005,0.0368979
4.1504e-005,0.0354345
4.1508e-005,0.0249527
4.1512e-005,0.0209247
4.1516e-005,0.020384
4.152e-005,0.0192084
4.1524e-005,0.0193126
4.1528e-005,0.017874
4.1532e-005,0.00949058
4.1536e-005,0.00151394
4.154e-005,0.00175701
4.1544e-005,-0.000118092
4.1548e-005,0.000442455
4.1552e-005,0.00101788
4.1556e-005,0.000606155
4.156e-005,0.00151394
4.1564e-005,-0.000108171
4.1568e-005,-0.0005199
4.1572e-005,0.010061
4.1576e-005,0.0197491
4.158e-005,0.0219913
4.1584e-005,0.0244517
4.1588e-005,0.0274529
4.1592e-005,0.0294917
4.1596e-005,0.0303548
4.16e-005,0.032225
4.1604e-005,0.0344821
4.1608e-005,0.0351468
4.1612e-005,0.0362183
4.1616e-005,0.0376816
4.162e-005,0.038143
4.1624e-005,0.038768
4.1628e-005,0.0389763
4.1632e-005,0.0393583
4.1636e-005,0.0398395
4.164e-005,0.0407473
4.1644e-005,0.0413227
4.1648e-005,0.0411491
4.1652e-005,0.0414467
4.1656e-005,0.0417642
4.166e-005,0.041417
4.1664e-005,0.0412483
4.1668e-005,0.042047
4.1672e-005,0.040911
4.1676e-005,0.0417444
4.168e-005,0.0425083
4.1684e-005,0.0418237
4.1688e-005,0.0423496
4.1692e-005,0.0413475
4.1696e-005,0.0411144
4.17e-005,0.0418585
4.1704e-005,0.0416303
4.1708e-005,0.0422603
4.1712e-005,0.0419676
4.1716e-005,0.0422454
4.172e-005,0.0419527
4.1724e-005,0.0420271
4.1728e-005,0.0418485
4.1732e-005,0.0415955
4.1736e-005,0.0421362
4.174e-005,0.0424488
4.1744e-005,0.0411392
4.1748e-005,0.0416898
4.1752e-005,0.0417295
4.1756e-005,0.0420172
4.176e-005,0.0418436
4.1764e-005,0.0412632
4.1768e-005,0.0421313
4.1772e-005,0.0412731
4.1776e-005,0.0420916
4.178e-005,0.0416948
4.1784e-005,0.0418436
4.1788e-005,0.0425033
4.1792e-005,0.0415112
4.1796e-005,0.0416104
4.18e-005,0.0417592
4.1804e-005,0.0403951
4.1808e-005,0.0418733
4.1812e-005,0.0416352
4.1816e-005,0.0416402
4.182e-005,0.0415906
4.1824e-005,0.0406431
4.1828e-005,0.0418337
4.1832e-005,0.0418436
4.1836e-005,0.0417047
4.184e-005,0.0418833
4.1844e-005,0.0417295
4.1848e-005,0.0413227
4.1852e-005,0.0413475
4.1856e-005,0.0415955
4.186e-005,0.0417344
4.1864e-005,0.0417692
4.1868e-005,0.0426273
4.1872e-005,0.0414864
4.1876e-005,0.0417741
4.188e-005,0.0424736
4.1884e-005,0.0414269
4.1888e-005,0.0417196
4.1892e-005,0.0422156
4.1896e-005,0.0424636
4.19e-005,0.0416948
4.1904e-005,0.0417493
4.1908e-005,0.0423496
4.1912e-005,0.0421114
4.1916e-005,0.0410102
4.192e-005,0.0425083
4.1924e-005,0.0416749
4.1928e-005,0.0416848
4.1932e-005,0.0414814
4.1936e-005,0.0414021
4.194e-005,0.0417146
4.1944e-005,0.0416451
4.1948e-005,0.0409903
4.1952e-005,0.0416898
4.1956e-005,0.0412235
4.196e-005,0.0421114
4.1964e-005,0.0416352
4.1968e-005,0.041541
4.1972e-005,0.0415757
4.1976e-005,0.0418783
4.198e-005,0.0411243
4.1984e-005,0.0413376
4.1988e-005,0.0413376
4.1992e-005,0.0421015
4.1996e-005,0.0417444
4.2e-005,0.0420172
4.2004e-005,0.0419775
4.2008e-005,0.0415856
4.2012e-005,0.0415906
4.2016e-005,0.042042
4.202e-005,0.0417196
4.2024e-005,0.0417642
4.2028e-005,0.0420321
4.2032e-005,0.0420618
4.2036e-005,0.0416253
4.204e-005,0.0414021
4.2044e-005,0.0413326
4.2048e-005,0.0419974
4.2052e-005,0.041665
4.2056e-005,0.0417692
4.206e-005,0.0420023
4.2064e-005,0.0420172
4.2068e-005,0.0418634
4.2072e-005,0.0424934
4.2076e-005,0.042042
4.208e-005,0.0417245
4.2084e-005,0.0419725
4.2088e-005,0.0413525
4.2092e-005,0.0418882
4.2096e-005,0.0418783
4.21e-005,0.0422801
4.2104e-005,0.041665
4.2108e-005,0.0417295
4.2112e-005,0.0417692
4.2116e-005,0.0419229
4.212e-005,0.0420271
4.2124e-005,0.0420073
4.2128e-005,0.0416055
4.2132e-005,0.0423198
4.2136e-005,0.0415658
4.214e-005,0.0417642
4.2144e-005,0.0423297
4.2148e-005,0.0419477
4.2152e-005,0.0416898
4.2156e-005,0.0416551
4.216e-005,0.0416253
4.2164e-005,0.0421214
4.2168e-005,0.0418436
4.2172e-005,0.0427762
4.2176e-005,0.0416551
4.218e-005,0.0419874
4.2184e-005,0.04229
4.2188e-005,0.0417543
4.2192e-005,0.0415459
4.2196e-005,0.0419031
4.22e-005,0.0418585
4.2204e-005,0.042424
4.2208e-005,0.042037
4.2212e-005,0.0422454
4.2216e-005,0.0421015
4.222e-005,0.0419626
4.2224e-005,0.0418833
4.2228e-005,0.0420618
4.2232e-005,0.0419229
4.2236e-005,0.0419676
4.224e-005,0.0426075
4.2244e-005,0.0416451
4.2248e-005,0.0407969
4.2252e-005,0.0389267
4.2256e-005,0.0366052
4.226e-005,0.0350277
4.2264e-005,0.0356627
4.2268e-005,0.035122
4.2272e-005,0.0347053
4.2276e-005,0.0260342
4.228e-005,0.0197689
4.2284e-005,0.0195011
4.2288e-005,0.0195903
4.2292e-005,0.0188215
4.2296e-005,0.0192282
4.23e-005,0.00775437
4.2304e-005,0.00138993
4.2308e-005,0.000497021
4.2312e-005,9.02528e-005
4.2316e-005,0.000958357
4.232e-005,0.00023411
4.2324e-005,0.000417652
4.2328e-005,-0.000128013
4.2332e-005,0.000754972
4.2336e-005,-0.00059927
4.234e-005,0.00910365
