Time,Ampl
4.126e-005,0.0446066
4.1264e-005,0.0446662
4.1268e-005,0.0439171
4.1272e-005,0.0443735
4.1276e-005,0.0440461
4.128e-005,0.0441602
4.1284e-005,0.0443884
4.1288e-005,0.0451225
4.1292e-005,0.0436244
4.1296e-005,0.044934
4.13e-005,0.0443338
4.1304e-005,0.0441949
4.1308e-005,0.0449588
4.1312e-005,0.0449043
4.1316e-005,0.0446562
4.132e-005,0.0449092
4.1324e-005,0.044939
4.1328e-005,0.0437732
4.1332e-005,0.0447009
4.1336e-005,0.0450779
4.134e-005,0.0444925
4.1344e-005,0.0451126
4.1348e-005,0.0449687
4.1352e-005,0.0444082
4.1356e-005,0.0448943
4.136e-005,0.0446017
4.1364e-005,0.0443239
4.1368e-005,0.0448844
4.1372e-005,0.0449291
4.1376e-005,0.0446215
4.138e-005,0.0448646
4.1384e-005,0.0453954
4.1388e-005,0.0448646
4.1392e-005,0.04481
4.1396e-005,0.0450928
4.14e-005,0.0440907
4.1404e-005,0.0448298
4.1408e-005,0.0446662
4.1412e-005,0.0451572
4.1416e-005,0.0451126
4.142e-005,0.0449439
4.1424e-005,0.0446265
4.1428e-005,0.0451523
4.1432e-005,0.0451027
4.1436e-005,0.0445421
4.144e-005,0.0448348
4.1444e-005,0.0443933
4.1448e-005,0.0435401
4.1452e-005,0.0407423
4.1456e-005,0.0379842
4.146e-005,0.0362728
4.1464e-005,0.0354791
4.1468e-005,0.0341795
4.1472e-005,0.0338868
4.1476e-005,0.0266344
4.148e-005,0.0208652
4.1484e-005,0.019883
4.1488e-005,0.0189852
4.1492e-005,0.019253
4.1496e-005,0.0190943
4.15e-005,0.0130523
4.1504e-005,0.00317078
4.1508e-005,-0.000152816
4.1512e-005,-0.000663758
4.1516e-005,-0.000817536
4.152e-005,-0.00043557
4.1524e-005,0.000338282
4.1528e-005,0.00014978
4.1532e-005,-0.000296674
4.1536e-005,-0.00124911
4.154e-005,0.00533856
4.1544e-005,0.0170208
4.1548e-005,0.0208553
4.1552e-005,0.0250073
4.1556e-005,0.028316
4.156e-005,0.031089
4.1564e-005,0.0330881
4.1568e-005,0.0351666
4.1572e-005,0.0372153
4.1576e-005,0.0389317
4.158e-005,0.0399139
4.1584e-005,0.0410846
4.1588e-005,0.042424
4.1592e-005,0.0420321
4.1596e-005,0.0432325
4.16e-005,0.0439865
4.1604e-005,0.0435302
4.1608e-005,0.0453408
4.1612e-005,0.0459361
4.1616e-005,0.046075
4.162e-005,0.0469927
4.1624e-005,0.0473399
4.1628e-005,0.0475483
4.1632e-005,0.0480443
4.1636e-005,0.0481534
4.164e-005,0.0475929
4.1644e-005,0.0488281
4.1648e-005,0.0490513
4.1652e-005,0.0486297
4.1656e-005,0.0494878
4.166e-005,0.0490464
4.1664e-005,0.0483519
4.1668e-005,0.0487785
4.1672e-005,0.0491555
4.1676e-005,0.0498053
4.168e-005,0.0494283
4.1684e-005,0.0499641
4.1688e-005,0.0498897
4.1692e-005,0.0503014
4.1696e-005,0.0505593
4.17e-005,0.0497607
4.1704e-005,0.0509215
4.1708e-005,0.0507677
4.1712e-005,0.049969
4.1716e-005,0.0504552
4.172e-005,0.0508818
4.1724e-005,0.0496664
4.1728e-005,0.0498698
4.1732e-005,0.0502171
4.1736e-005,0.0500037
4.174e-005,0.0495375
4.1744e-005,0.0511496
4.1748e-005,0.0504105
4.1752e-005,0.050103
4.1756e-005,0.0500831
4.176e-005,0.0497408
4.1764e-005,0.0501724
4.1768e-005,0.0497111
4.1772e-005,0.0497855
4.1776e-005,0.0497359
4.178e-005,0.0505792
4.1784e-005,0.0499789
4.1788e-005,0.0505693
4.1792e-005,0.0500335
4.1796e-005,0.0498053
4.18e-005,0.0503113
4.1804e-005,0.0502468
4.1808e-005,0.0503014
4.1812e-005,0.0501674
4.1816e-005,0.0505345
4.182e-005,0.0499244
4.1824e-005,0.0507181
4.1828e-005,0.0501377
4.1832e-005,0.050599
4.1836e-005,0.0505742
4.184e-005,0.0509859
4.1844e-005,0.0510008
4.1848e-005,0.0508074
4.1852e-005,0.0504304
4.1856e-005,0.0498152
4.186e-005,0.0504998
4.1864e-005,0.0507379
4.1868e-005,0.0499839
4.1872e-005,0.0510256
4.1876e-005,0.05111
4.188e-005,0.0504254
4.1884e-005,0.0499591
4.1888e-005,0.0514076
4.1892e-005,0.0498053
4.1896e-005,0.0502369
4.19e-005,0.0502915
4.1904e-005,0.0498797
4.1908e-005,0.0498847
4.1912e-005,0.0506089
4.1916e-005,0.0500881
4.192e-005,0.050351
4.1924e-005,0.0507578
4.1928e-005,0.0500434
4.1932e-005,0.0501674
4.1936e-005,0.0509413
4.194e-005,0.0501228
4.1944e-005,0.050222
4.1948e-005,0.0507974
4.1952e-005,0.050857
4.1956e-005,0.0507578
4.196e-005,0.0513778
4.1964e-005,0.0503163
4.1968e-005,0.0502468
4.1972e-005,0.0514423
4.1976e-005,0.0503063
4.198e-005,0.0508619
4.1984e-005,0.0507032
4.1988e-005,0.049969
4.1992e-005,0.05048
4.1996e-005,0.0507379
4.2e-005,0.0504403
4.2004e-005,0.0506238
4.2008e-005,0.0509959
4.2012e-005,0.0500286
4.2016e-005,0.050093
4.202e-005,0.050599
4.2024e-005,0.0501774
4.2028e-005,0.0508967
4.2032e-005,0.0504105
4.2036e-005,0.0499442
4.204e-005,0.0502022
4.2044e-005,0.0508719
4.2048e-005,0.0498053
4.2052e-005,0.0508917
4.2056e-005,0.0504849
4.206e-005,0.0504502
4.2064e-005,0.0502319
4.2068e-005,0.0509512
4.2072e-005,0.050227
4.2076e-005,0.0499591
4.208e-005,0.0509066
4.2084e-005,0.0498301
4.2088e-005,0.0503014
4.2092e-005,0.0500831
4.2096e-005,0.0500484
4.21e-005,0.0505643
4.2104e-005,0.0510157
4.2108e-005,0.04984
4.2112e-005,0.0502865
4.2116e-005,0.0515515
4.212e-005,0.0503113
4.2124e-005,0.050475
4.2128e-005,0.0509859
4.2132e-005,0.0506189
4.2136e-005,0.0504899
4.214e-005,0.0510207
4.2144e-005,0.0497805
4.2148e-005,0.050852
4.2152e-005,0.0505792
4.2156e-005,0.0501278
4.216e-005,0.0514324
4.2164e-005,0.0507082
4.2168e-005,0.0510653
4.2172e-005,0.0506486
4.2176e-005,0.0509611
4.218e-005,0.0510901
4.2184e-005,0.0507726
4.2188e-005,0.0507379
4.2192e-005,0.0501625
4.2196e-005,0.0503311
4.22e-005,0.0506585
4.2204e-005,0.0503411
4.2208e-005,0.0511844
4.2212e-005,0.0506536
4.2216e-005,0.049096
4.222e-005,0.0454698
4.2224e-005,0.0417692
4.2228e-005,0.0378453
4.2232e-005,0.0371955
4.2236e-005,0.0362728
4.224e-005,0.0360942
4.2244e-005,0.0277059
4.2248e-005,0.0222195
4.2252e-005,0.0191092
4.2256e-005,0.0191836
4.226e-005,0.017745
4.2264e-005,0.0181567
4.2268e-005,0.0129828
4.2272e-005,0.00294755
4.2276e-005,0.000244031
4.228e-005,-0.000321477
4.2284e-005,0.00039781
4.2288e-005,0.000258913
4.2292e-005,0.000199386
4.2296e-005,0.000948436
4.23e-005,-0.000490137
4.2304e-005,-0.00173029
4.2308e-005,0.00611737
4.2312e-005,0.0174573
4.2316e-005,0.019377
4.232e-005,0.0213067
4.2324e-005,0.0229139
4.2328e-005,0.0238118
4.2332e-005,0.0256125
4.2336e-005,0.0259895
4.234e-005,0.0269618
4.2344e-005,0.0272049
4.2348e-005,0.0277307
4.2352e-005,0.0285889
4.2356e-005,0.0292387
4.236e-005,0.0289559
4.2364e-005,0.0297248
4.2368e-005,0.0296157
4.2372e-005,0.0300969
4.2376e-005,0.0302804
4.238e-005,0.030717
4.2384e-005,0.0302606
4.2388e-005,0.0302159
4.2392e-005,0.0313668
4.2396e-005,0.0302259
4.24e-005,0.0303648
4.2404e-005,0.0311188
4.2408e-005,0.0305781
4.2412e-005,0.030335
4.2416e-005,0.0311039
4.242e-005,0.0307021
4.2424e-005,0.0305979
4.2428e-005,0.0306674
4.2432e-005,0.0303102
4.2436e-005,0.0308707
4.244e-005,0.0312477
4.2444e-005,0.0307616
4.2448e-005,0.0303598
4.2452e-005,0.0306029
4.2456e-005,0.0313668
4.246e-005,0.0307318
4.2464e-005,0.030464
4.2468e-005,0.0295909
4.2472e-005,0.0302903
4.2476e-005,0.0305185
4.248e-005,0.0299729
4.2484e-005,0.0305731
4.2488e-005,0.0303201
4.2492e-005,0.0300026
4.2496e-005,0.0296107
4.25e-005,0.0304044
4.2504e-005,0.0303747
4.2508e-005,0.02971
4.2512e-005,0.0302507
4.2516e-005,0.0299977
