LECROYWR104MXi,20621,Waveform
Segments,1,SegmentSize,2501
Segment,TrigTime,TimeSinceSegment1
#1,21-May-2015 13:59:34,0                 
Time,Ampl
4.126e-005,0.0477913
4.1264e-005,0.047702
4.1268e-005,0.048843
4.1272e-005,0.0496466
4.1276e-005,0.0494581
4.128e-005,0.0493738
4.1284e-005,0.0499442
4.1288e-005,0.0495127
4.1292e-005,0.0502567
4.1296e-005,0.0510554
4.13e-005,0.0503956
4.1304e-005,0.0508074
4.1308e-005,0.0514076
4.1312e-005,0.0511993
4.1316e-005,0.0512687
4.132e-005,0.0510852
4.1324e-005,0.0515862
4.1328e-005,0.0517449
4.1332e-005,0.0515415
4.1336e-005,0.0510455
4.134e-005,0.0523451
4.1344e-005,0.0513927
4.1348e-005,0.0518491
4.1352e-005,0.0526676
4.1356e-005,0.0520723
4.136e-005,0.051983
4.1364e-005,0.0520773
4.1368e-005,0.052613
4.1372e-005,0.0517449
4.1376e-005,0.0518541
4.138e-005,0.0517052
4.1384e-005,0.0518689
4.1388e-005,0.0519929
4.1392e-005,0.0523253
4.1396e-005,0.0524146
4.14e-005,0.0518541
4.1404e-005,0.0524493
4.1408e-005,0.0523997
4.1412e-005,0.0520971
4.1416e-005,0.0529851
4.142e-005,0.05236
4.1424e-005,0.0519037
4.1428e-005,0.052613
4.1432e-005,0.0529603
4.1436e-005,0.0517201
4.144e-005,0.0522311
4.1444e-005,0.0525337
4.1448e-005,0.0529652
4.1452e-005,0.052117
4.1456e-005,0.0518937
4.146e-005,0.0520277
4.1464e-005,0.0521814
4.1468e-005,0.0519483
4.1472e-005,0.0524989
4.1476e-005,0.052489
4.148e-005,0.0522063
4.1484e-005,0.0527916
4.1488e-005,0.0516705
4.1492e-005,0.0529404
4.1496e-005,0.0521566
4.15e-005,0.0525237
4.1504e-005,0.0519185
4.1508e-005,0.0525585
4.1512e-005,0.0524642
4.1516e-005,0.0526329
4.152e-005,0.0521666
4.1524e-005,0.0526974
4.1528e-005,0.0532728
4.1532e-005,0.0527271
4.1536e-005,0.0521517
4.154e-005,0.0524989
4.1544e-005,0.0521467
4.1548e-005,0.0529057
4.1552e-005,0.0525088
4.1556e-005,0.0523451
4.156e-005,0.0528462
4.1564e-005,0.052494
4.1568e-005,0.0523055
4.1572e-005,0.0523104
4.1576e-005,0.0524493
4.158e-005,0.0525386
4.1584e-005,0.0524642
4.1588e-005,0.0533422
4.1592e-005,0.0529156
4.1596e-005,0.0527321
4.16e-005,0.0527569
4.1604e-005,0.0529355
4.1608e-005,0.0531984
4.1612e-005,0.05299
4.1616e-005,0.0525237
4.162e-005,0.0535357
4.1624e-005,0.0528114
4.1628e-005,0.0528611
4.1632e-005,0.0532083
4.1636e-005,0.0533472
4.164e-005,0.0526924
4.1644e-005,0.0531041
4.1648e-005,0.05236
4.1652e-005,0.0527718
4.1656e-005,0.0524394
4.166e-005,0.0530496
4.1664e-005,0.0530099
