Time,Ampl
4.126e-005,0.0180278
4.1264e-005,0.0171249
4.1268e-005,0.0164205
4.1272e-005,0.0160584
4.1276e-005,0.0149224
4.128e-005,0.0149522
4.1284e-005,0.0147091
4.1288e-005,0.0134293
4.1292e-005,0.0135285
4.1296e-005,0.0131664
4.13e-005,0.0130473
4.1304e-005,0.0131267
4.1308e-005,0.0131416
4.1312e-005,0.0136674
4.1316e-005,0.0127646
4.132e-005,0.0129084
4.1324e-005,0.0132209
4.1328e-005,0.0129233
4.1332e-005,0.0132259
4.1336e-005,0.013469
4.134e-005,0.0128142
4.1344e-005,0.0131366
4.1348e-005,0.0134739
4.1352e-005,0.0134987
4.1356e-005,0.0132209
4.136e-005,0.0129432
4.1364e-005,0.0132904
4.1368e-005,0.0131565
4.1372e-005,0.0132457
4.1376e-005,0.0138063
4.138e-005,0.0130473
4.1384e-005,0.0127646
4.1388e-005,0.0136823
4.1392e-005,0.0128241
4.1396e-005,0.013965
4.14e-005,0.0135335
4.1404e-005,0.0127795
4.1408e-005,0.0130225
4.1412e-005,0.0141635
4.1416e-005,0.0136476
4.142e-005,0.0130374
4.1424e-005,0.0136972
4.1428e-005,0.0129828
4.1432e-005,0.0139303
4.1436e-005,0.0138212
4.144e-005,0.0139105
4.1444e-005,0.0134987
4.1448e-005,0.0140097
4.1452e-005,0.0132507
4.1456e-005,0.0138261
4.146e-005,0.0144413
4.1464e-005,0.0137815
4.1468e-005,0.0140642
4.1472e-005,0.0136128
4.1476e-005,0.0132259
4.148e-005,0.0135731
4.1484e-005,0.0136624
4.1488e-005,0.0128539
4.1492e-005,0.0137319
4.1496e-005,0.0140146
4.15e-005,0.0128985
4.1504e-005,0.0138361
4.1508e-005,0.0135087
4.1512e-005,0.0134591
4.1516e-005,0.0132259
4.152e-005,0.0139154
4.1524e-005,0.0140097
4.1528e-005,0.0144065
4.1532e-005,0.0133797
4.1536e-005,0.0138906
4.154e-005,0.0137368
4.1544e-005,0.0135285
4.1548e-005,0.0137616
4.1552e-005,0.0135434
4.1556e-005,0.014094
4.156e-005,0.0132954
4.1564e-005,0.0137815
4.1568e-005,0.0141188
4.1572e-005,0.0135087
4.1576e-005,0.0134987
4.158e-005,0.0139849
4.1584e-005,0.0132755
4.1588e-005,0.0136525
4.1592e-005,0.0146248
4.1596e-005,0.0132457
4.16e-005,0.013841
4.1604e-005,0.0141833
4.1608e-005,0.0136624
4.1612e-005,0.0131118
4.1616e-005,0.0137666
4.162e-005,0.0134144
4.1624e-005,0.0133301
4.1628e-005,0.0136823
4.1632e-005,0.0134591
4.1636e-005,0.013092
4.164e-005,0.0143619
4.1644e-005,0.0139402
4.1648e-005,0.0145057
4.1652e-005,0.013593
4.1656e-005,0.013717
4.166e-005,0.0135731
4.1664e-005,0.0137269
4.1668e-005,0.0130027
4.1672e-005,0.0137319
4.1676e-005,0.0132259
4.168e-005,0.013965
